"_messagetimems","_messagetime","maxLatency","_raw"
"1727186625000","09/24/2024 07:03:45.000 -0700","121","Sep 24 14:03:45 yosemite-i-0cb2f2849a78384ca-us-east-1 run[6012]: <info>2024/09/24 14:03:45.048[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":28942,""lateCallbacks"":361,""latePercentage"":1.247322230668233,""latencyPercentiles"":{""p50"":28,""p90"":56,""p99"":102},""avgLatency"":33.09972299168975,""maxLatency"":121,""timestamp"":""2024-09-24T14:03:45.048Z""}"
"1727182429000","09/24/2024 05:53:49.000 -0700","128","Sep 24 12:53:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/24 12:53:49.422[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29494,""lateCallbacks"":110,""latePercentage"":0.372957211636265,""latencyPercentiles"":{""p50"":33,""p90"":59,""p99"":87},""avgLatency"":37.53636363636364,""maxLatency"":128,""timestamp"":""2024-09-24T12:53:49.422Z""}"
"1727159029000","09/23/2024 23:23:49.000 -0700","110","Sep 24 06:23:49 yosemite-i-09eada3e53f11870b-us-east-1 run[5998]: <info>2024/09/24 06:23:49.340[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29753,""lateCallbacks"":28,""latePercentage"":0.09410815716062246,""latencyPercentiles"":{""p50"":23,""p90"":29,""p99"":110},""avgLatency"":26.142857142857142,""maxLatency"":110,""timestamp"":""2024-09-24T06:23:49.340Z""}"
"1727159025000","09/23/2024 23:23:45.000 -0700","113","Sep 24 06:23:45 yosemite-i-0cb2f2849a78384ca-us-east-1 run[6012]: <info>2024/09/24 06:23:45.041[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29753,""lateCallbacks"":31,""latePercentage"":0.10419117399926058,""latencyPercentiles"":{""p50"":24,""p90"":27,""p99"":113},""avgLatency"":25.483870967741936,""maxLatency"":113,""timestamp"":""2024-09-24T06:23:45.041Z""}"
"1727158729000","09/23/2024 23:18:49.000 -0700","108","Sep 24 06:18:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/24 06:18:49.419[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29553,""lateCallbacks"":98,""latePercentage"":0.3316076202077623,""latencyPercentiles"":{""p50"":27,""p90"":60,""p99"":108},""avgLatency"":34.55102040816327,""maxLatency"":108,""timestamp"":""2024-09-24T06:18:49.419Z""}"
"1727118229000","09/23/2024 12:03:49.000 -0700","123","Sep 23 19:03:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/23 19:03:49.416[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29510,""lateCallbacks"":181,""latePercentage"":0.6133514063029482,""latencyPercentiles"":{""p50"":21,""p90"":34,""p99"":49},""avgLatency"":23.337016574585636,""maxLatency"":123,""timestamp"":""2024-09-23T19:03:49.416Z""}"
"1727114029000","09/23/2024 10:53:49.000 -0700","127","Sep 23 17:53:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/23 17:53:49.416[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":28611,""lateCallbacks"":655,""latePercentage"":2.289329278948656,""latencyPercentiles"":{""p50"":20,""p90"":40,""p99"":70},""avgLatency"":24.406106870229006,""maxLatency"":127,""timestamp"":""2024-09-23T17:53:49.415Z""}"
"1727114029000","09/23/2024 10:53:49.000 -0700","229","Sep 23 17:53:49 yosemite-i-09eada3e53f11870b-us-east-1 run[5998]: <info>2024/09/23 17:53:49.168[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":28798,""lateCallbacks"":520,""latePercentage"":1.8056809500659767,""latencyPercentiles"":{""p50"":20,""p90"":38,""p99"":83},""avgLatency"":24.776923076923076,""maxLatency"":229,""timestamp"":""2024-09-23T17:53:49.167Z""}"
"1727099029000","09/23/2024 06:43:49.000 -0700","116","Sep 23 13:43:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/23 13:43:49.412[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29466,""lateCallbacks"":174,""latePercentage"":0.5905110975361434,""latencyPercentiles"":{""p50"":25,""p90"":44,""p99"":72},""avgLatency"":28.17241379310345,""maxLatency"":116,""timestamp"":""2024-09-23T13:43:49.412Z""}"
"1727078929000","09/23/2024 01:08:49.000 -0700","103","Sep 23 08:08:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/23 08:08:49.405[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29735,""lateCallbacks"":36,""latePercentage"":0.12106944677988901,""latencyPercentiles"":{""p50"":24,""p90"":29,""p99"":103},""avgLatency"":26.13888888888889,""maxLatency"":103,""timestamp"":""2024-09-23T08:08:49.405Z""}"
"1726996729000","09/22/2024 02:18:49.000 -0700","125","Sep 22 09:18:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/22 09:18:49.379[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29712,""lateCallbacks"":47,""latePercentage"":0.1581852450188476,""latencyPercentiles"":{""p50"":24,""p90"":32,""p99"":125},""avgLatency"":26.617021276595743,""maxLatency"":125,""timestamp"":""2024-09-22T09:18:49.379Z""}"
"1726996728000","09/22/2024 02:18:48.000 -0700","122","Sep 22 09:18:48 yosemite-i-09eada3e53f11870b-us-east-1 run[5998]: <info>2024/09/22 09:18:48.504[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29711,""lateCallbacks"":51,""latePercentage"":0.17165359631113056,""latencyPercentiles"":{""p50"":22,""p90"":34,""p99"":122},""avgLatency"":26.54901960784314,""maxLatency"":122,""timestamp"":""2024-09-22T09:18:48.504Z""}"
"1726986824000","09/21/2024 23:33:44.000 -0700","116","Sep 22 06:33:44 yosemite-i-0cb2f2849a78384ca-us-east-1 run[6012]: <info>2024/09/22 06:33:44.988[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29742,""lateCallbacks"":32,""latePercentage"":0.10759195750117678,""latencyPercentiles"":{""p50"":21,""p90"":31,""p99"":116},""avgLatency"":26.71875,""maxLatency"":116,""timestamp"":""2024-09-22T06:33:44.988Z""}"
"1726958028000","09/21/2024 15:33:48.000 -0700","101","Sep 21 22:33:48 yosemite-i-09eada3e53f11870b-us-east-1 run[5998]: <info>2024/09/21 22:33:48.299[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29393,""lateCallbacks"":196,""latePercentage"":0.6668254346272922,""latencyPercentiles"":{""p50"":20,""p90"":33,""p99"":93},""avgLatency"":23.21938775510204,""maxLatency"":101,""timestamp"":""2024-09-21T22:33:48.299Z""}"
"1726953829000","09/21/2024 14:23:49.000 -0700","109","Sep 21 21:23:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/21 21:23:49.369[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29730,""lateCallbacks"":41,""latePercentage"":0.13790783720147998,""latencyPercentiles"":{""p50"":25,""p90"":29,""p99"":109},""avgLatency"":25.70731707317073,""maxLatency"":109,""timestamp"":""2024-09-21T21:23:49.368Z""}"
"1726941824000","09/21/2024 11:03:44.000 -0700","103","Sep 21 18:03:44 yosemite-i-0cb2f2849a78384ca-us-east-1 run[6012]: <info>2024/09/21 18:03:44.973[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29482,""lateCallbacks"":177,""latePercentage"":0.6003663252153856,""latencyPercentiles"":{""p50"":19,""p90"":32,""p99"":55},""avgLatency"":21.610169491525422,""maxLatency"":103,""timestamp"":""2024-09-21T18:03:44.973Z""}"
"1726916029000","09/21/2024 03:53:49.000 -0700","105","Sep 21 10:53:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/21 10:53:49.357[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29751,""lateCallbacks"":31,""latePercentage"":0.10419817821249706,""latencyPercentiles"":{""p50"":22,""p90"":26,""p99"":105},""avgLatency"":24.903225806451612,""maxLatency"":105,""timestamp"":""2024-09-21T10:53:49.356Z""}"
"1726883929000","09/20/2024 18:58:49.000 -0700","118","Sep 21 01:58:49 yosemite-i-03a22f252452bd7ff-us-east-1 run[6012]: <info>2024/09/21 01:58:49.339[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29752,""lateCallbacks"":28,""latePercentage"":0.09411132024737832,""latencyPercentiles"":{""p50"":22,""p90"":28,""p99"":118},""avgLatency"":26.357142857142858,""maxLatency"":118,""timestamp"":""2024-09-21T01:58:49.339Z""}"
"1726883927000","09/20/2024 18:58:47.000 -0700","112","Sep 21 01:58:47 yosemite-i-09eada3e53f11870b-us-east-1 run[5998]: <info>2024/09/21 01:58:47.895[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29752,""lateCallbacks"":29,""latePercentage"":0.09747243882764184,""latencyPercentiles"":{""p50"":24,""p90"":27,""p99"":112},""avgLatency"":26.17241379310345,""maxLatency"":112,""timestamp"":""2024-09-21T01:58:47.895Z""}"
"1726838024000","09/20/2024 06:13:44.000 -0700","111","Sep 20 13:13:44 yosemite-i-0cb2f2849a78384ca-us-east-1 run[6012]: <info>2024/09/20 13:13:44.401[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29477,""lateCallbacks"":103,""latePercentage"":0.3494249754045527,""latencyPercentiles"":{""p50"":38,""p90"":66,""p99"":101},""avgLatency"":41.74757281553398,""maxLatency"":111,""timestamp"":""2024-09-20T13:13:44.401Z""}"
